trade_number,cumulative_pnl,timestamp_ms
494,11294.527747073795,1772212500136
495,11269.527747073795,1772212800197
496,11311.017108775923,1772213100033
497,11352.50647047805,1772213400081
498,11327.50647047805,1772213400081
499,11302.50647047805,1772213700127
500,11277.50647047805,1772214300093
501,11302.909696284501,1772215200084
502,11326.359308687603,1772215800022
503,11366.126148065841,1772216700061
504,11391.529373872292,1772217300087
505,11366.529373872292,1772217900188
506,11389.978986275393,1772218598517
507,11452.39157368798,1772222100008
508,11482.21613509149,1772222700127
509,11507.619360897941,1772223300189
510,11537.44392230145,1772223300189
511,11578.933284003579,1772224500097
512,11553.933284003579,1772225100197
513,11583.757845407088,1772226000167
514,11558.757845407088,1772226300017
515,11579.545391194633,1772226600013
516,11621.034752896761,1772226900134
517,11660.801592275,1772226900134
518,11700.568431653239,1772228100080
519,11740.335271031478,1772228700167
520,11780.102110409716,1772229600153
521,11805.505336216167,1772230800024
522,11846.994697918295,1772231100080
523,11821.994697918295,1772231400101
524,11902.926901308125,1772231700080
525,11923.71444709567,1772232000089
526,11949.11767290212,1772232300084
527,11924.11767290212,1772232300084
528,11899.11767290212,1772233200116
529,11874.11767290212,1772233500038
530,11899.520898708572,1772233800146
531,11941.0102604107,1772234100146
532,11916.0102604107,1772234100146
533,11955.777099788938,1772235900053
534,11930.777099788938,1772236800140
535,11960.601661192448,1772236800140
536,12000.368500570687,1772238000108
537,12041.857862272815,1772238600147
538,12081.624701651053,1772238600147
539,12123.114063353181,1772241000082
540,12162.88090273142,1772242500021
541,12204.370264433548,1772243100097
542,12244.137103811787,1772243100097
543,12285.626465513915,1772249700130
544,12325.393304892154,1772250000071
545,12366.882666594282,1772250300143
546,12395.53073526381,1772253300026
547,12416.318281051355,1772253600070
548,12444.966349720884,1772253900147
549,12484.733189099123,1772256900067
550,12524.500028477361,1772259300103
551,12547.949640880463,1772259600075
552,12573.352866686913,1772259900096
553,12613.119706065152,1772260200124
554,12636.569318468253,1772260200124
555,12665.217387137782,1772260500066
556,12640.217387137782,1772260800028
557,12668.86545580731,1772261100000
558,12689.653001594856,1772261100000
